post,claim,source,publisher,source_date,access_date,scope,evidence_type,confidence,refresh_trigger
form-5472-partner-program-how-it-works,"The partner program is intended for formation agencies registered agents CPA and accounting firms and consultants managing foreign-owned US LLC clients",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,global partner program,first-party product page,high,partner-program eligibility change
form-5472-partner-program-how-it-works,"Partner filings are grouped under one account with live filing statuses",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,partner dashboard,first-party product page,high,partner-dashboard workflow change
form-5472-partner-program-how-it-works,"Clients sign through a secure browser link and the partner keeps status visibility",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,partner filing workflow,first-party product page,high,signature workflow change
form-5472-partner-program-how-it-works,"Partner applications are manually approved usually within one business day",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,partner onboarding,first-party product page,high,approval service-level change
form-5472-partner-program-how-it-works,"White-label delivery is available by request with exact branding and communication scope confirmed after approval","Business-owner instruction in Codex task dated 2026-08-31",Form5472 Prep,2026-08-31,white-label partner offer,first-party owner statement,medium,partner page deployment or white-label terms change
white-label-form-5472-filing-accounting-firms,"Every standard filing package is reviewed by a qualified tax accountant before submission",https://www.form5472prep.com/about,Form5472 Prep,current,2026-08-31,Form5472 Prep service,first-party product page,high,service-scope change
white-label-form-5472-filing-accounting-firms,"The service prepares Form 5472 and a pro forma Form 1120 and sends the signed package to the IRS with a timestamped fax receipt",https://www.form5472prep.com/about,Form5472 Prep,current,2026-08-31,Form5472 Prep service,first-party product page,high,filing workflow change
white-label-form-5472-filing-accounting-firms,"White-label delivery applies to agreed client-facing communications rather than creating an unsupported promise of a branded portal domain or every touchpoint","Business-owner instruction in Codex task dated 2026-08-31; local PartnerApplyForm copy",Form5472 Prep,2026-08-31,white-label partner offer,first-party owner statement plus implementation,medium,white-label terms or implementation change
white-label-form-5472-filing-accounting-firms,"Form5472 Prep is a form-preparation and filing-courier service rather than a CPA firm and does not provide tax advice",https://www.form5472prep.com/about,Form5472 Prep,current,2026-08-31,service boundary,first-party product page,high,service or legal-position change
form-5472-partner-program-company-formation-agents,"A foreign-owned US disregarded entity with a reportable related-party transaction files Form 5472 with a pro forma Form 1120",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-31,US federal information reporting,primary authority,high,new Form 5472 revision
form-5472-partner-program-company-formation-agents,"Owner funding formation costs and owner-paid LLC expenses can be reportable transactions",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-31,US federal information reporting,primary authority,high,new Form 5472 revision
form-5472-partner-program-company-formation-agents,"The partner service can start one filing per client LLC and keep it associated with the partner account",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,partner dashboard,first-party product page,high,partner workflow change
form-5472-partner-program-company-formation-agents,"White-label options are available by request and should be scoped during partner approval","Business-owner instruction in Codex task dated 2026-08-31",Form5472 Prep,2026-08-31,white-label partner offer,first-party owner statement,medium,partner page deployment or white-label terms change
form-5472-partner-program-registered-agents,"State entity maintenance and federal Form 5472 information reporting are separate compliance layers",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-31,US federal information reporting,primary authority,high,new Form 5472 revision
form-5472-partner-program-registered-agents,"The partner program expressly includes registered agents serving multiple foreign-owned LLC clients",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,global partner program,first-party product page,high,partner-program eligibility change
form-5472-partner-program-registered-agents,"The client remains the signer while the partner can coordinate the filing and monitor status",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,partner filing workflow,first-party product page,high,signature workflow change
form-5472-partner-program-registered-agents,"The IRS instructions currently state a $25,000 penalty for failure to file a timely and substantially complete Form 5472",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-31,US federal information reporting,primary authority,high,statutory or form revision
form-5472-white-label-vs-standard-partner,"The standard partner flow uses Form5472 Prep client communications and gives the partner dashboard visibility",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,standard partner offer,first-party product page,high,partner workflow change
form-5472-white-label-vs-standard-partner,"White-label delivery is available by request with the exact communication and branding scope agreed after approval","Business-owner instruction in Codex task dated 2026-08-31; local PartnerApplyForm copy",Form5472 Prep,2026-08-31,white-label partner offer,first-party owner statement plus implementation,medium,white-label terms or implementation change
form-5472-white-label-vs-standard-partner,"Current direct pricing is Standard $149 in 5-7 business days or Express $199 within 3 business days plus $99 per additional past year with IRS fax included",src/lib/pricing.ts,Form5472 Prep,current,2026-08-31,current public pricing,first-party source code,high,pricing or turnaround change
form-5472-white-label-vs-standard-partner,"The standard partner page states that each filing is paid individually and volume pricing or consolidated invoicing is available on request",https://www.form5472prep.com/partners,Form5472 Prep,current,2026-08-31,partner commercial terms,first-party product page,high,partner commercial terms change
