claim_id,claim,section,source_url_or_location,publisher_or_owner,source_date,accessed_at,scope,source_locator,evidence_type,direct_or_derived,method_and_inputs,verification_status,confidence,confidence_reason,resolution,refresh_trigger,reviewer,notes
C01,Convertible virtual currency is property,Crypto,https://www.irs.gov/pub/irs-drop/n-14-21.pdf,IRS,2014-04-14,2026-09-11,Federal virtual currency treatment,Q1 and Q5,Primary authority,direct,Read notice,verified,high,Explicit rule,Use with scope,New digital asset guidance,Codex,No trading tax advice
C02,Owner crypto contributions need related-party disclosure review,Crypto,https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-09-11,Foreign-owned US DE,Parts V and VI,Primary authority,derived,Combine property rule with DE contributions and nonmonetary reporting,verified,medium,Classification depends on actual ownership and transaction,State synthesis and limitations,Form revision or transaction complexity,Codex,No categorical taxability claim
C03,Dollar reporting and nonmonetary value evidence,Crypto,https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-09-11,Form 5472,Parts IV and VI,Primary authority,direct,Read USD and FMV instructions,verified,high,Explicit instructions,Illustration uses 2 times 1500 USD,Form revision,Codex,Reference value not tax basis
C04,Personal costs generally not business deductions,Personal payments,https://www.irs.gov/faqs/small-business-self-employed-other-business/income-expenses/income-expenses-1,IRS,Not exposed,2026-09-11,General expense principle for individual business owner,Answer bullets,Primary authority,direct,Read full answer,verified,high,Exact personal-account scenario,Do not infer income source or return liability,IRS change,Codex,Replaced overly broad resource-index citation
C05,Indirect personal benefit requires owner-transaction analysis,Personal payments,https://www.law.cornell.edu/cfr/text/26/1.6038A-2,CFR via Cornell,Current displayed text,2026-09-11,Foreign-owned US DE,Paragraph b3 and Form 5472 Part V,Regulation,derived,Apply owner transaction rules to labeled landlord example,verified,medium,Substance-dependent classification,Qualified not automatically distribution,Regulation change,Codex,No double count or automatic penalty
C06,Address alone does not require new EIN,EIN address,https://www.irs.gov/businesses/small-businesses-self-employed/when-to-get-a-new-ein,IRS,Not exposed,2026-09-11,Existing EIN holders,Intro and LLC section,Primary authority,direct,Read entity guidance,verified,high,Explicit address rule,Separate ownership changes,IRS revision,Codex,No acquisition upsell for correction
C07,8822-B changes mailing location or responsible party,EIN address,https://www.irs.gov/forms-pubs/about-form-8822-b,IRS,Current revision linked,2026-09-11,Business EIN record,Overview and 60-day note,Primary authority,direct,Read current overview,verified,high,Explicit fields,60 days scoped to responsible party,Form revision,Codex,State record distinction is coordination advice
C08,8822-B signing routing foreign address and processing,EIN address,https://www.irs.gov/pub/irs-pdf/f8822b.pdf,IRS,2019-12,2026-09-11,Form 8822-B,Pages 1-2,Primary authority,direct,Read form instructions,verified,high,Exact form requirements,4-6 weeks estimate not guarantee,Form revision,Codex,No hardcoded mailing destination
C09,Renewal with legal name change requires support,ITIN name,https://www.irs.gov/instructions/iw7,IRS,2024-12,2026-09-11,ITIN renewal,Name and line 6f notes,Primary authority,direct,Read line-specific requirements,verified,high,Explicit marriage or court examples,Separate from name-only update,Form revision,Codex,No unsupported name-only mailing steps
C10,Prior ITIN and prior assigned name on renewal,ITIN name,https://www.irs.gov/instructions/iw7,IRS,2024-12,2026-09-11,Existing ITIN renewal,Lines 6e and 6f,Primary authority,direct,Read prior number and name requirements,verified,high,Explicit instructions,Do not apply as first-time merely for name change,Form revision,Codex,Name chain is editorial framework
C11,Check assigned name and birthdate and contact IRS about issues,ITIN name,https://www.irs.gov/individuals/understanding-your-cp565-notice,IRS,Not exposed,2026-09-11,CP565 recipients,What you need to do and contact guidance,Primary authority,direct,Read notice guide,verified,high,Explicit checking instructions,Use own notice/current contact process,Notice revision,Codex,No promise of service for all corrections
C12,ITIN eligibility needs tax purpose and SSN ineligibility,ITIN guides,https://www.irs.gov/instructions/iw7,IRS,2024-12,2026-09-11,ITIN applicants,Who must apply and return exceptions,Primary authority,direct,Read eligibility and supporting return rules,verified,high,Explicit prerequisites,No LLC or bank-only blanket eligibility,Form revision,Codex,CAA cannot waive eligibility
C13,Without valid passport use acceptable current document combination,ITIN documents,https://www.irs.gov/tin/itin/itin-supporting-documents,IRS,Not exposed,2026-09-11,Adult focus with dependent caveat,Requirements and acceptable documents,Primary authority,direct,Read document types and validity,verified,high,Explicit distinctions,Driver license identity only,Document-rule revision,Codex,No any-two-IDs claim
C14,Originals or issuing-agency certification not ordinary notarization,ITIN documents,https://www.irs.gov/tin/itin/itin-supporting-documents,IRS,Not exposed,2026-09-11,General applicant rule,Certified copies section,Primary authority,direct,Read copy requirements and military exception,verified,high,Explicit copy rule,State narrow exceptions not general route,Document-rule revision,Codex,Expired passport not cured by certification
C15,CAA authentication has document and applicant limits,ITIN documents,https://www.irs.gov/instructions/iw7,IRS,2024-12,2026-09-11,CAA and TAC routes,Where to apply,Primary authority,direct,Read submission route provisions,verified,high,Explicit program limits,Confirm exact documents before booking,Program revision,Codex,No approval guarantee
C16,Offered EIN acquisition and ITIN prep CAA renewal,CTAs,https://www.form5472prep.com/itin,Form5472 Prep,Live page,2026-09-11,Current business offering,/itin and /ein and /pricing,First-party product,direct,Opened current destinations,verified,high,Live service scope,Contact before nonstandard correction; no exact prices,Offering change,Codex,No new correction service invented
