publish_date,site,post_url,primary_query,intent_type,conversion_target_url,winnability_score,ai_citation_gap_score,word_count,schema_types,faq_count,has_proprietary_asset,last_updated,serp_rank,ai_mention_rate,ai_citation_rate,notes
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-australia-residents-us-llc,form 5472 Australia resident US LLC,commercial investigation,https://www.form5472prep.com/start,4,4,955,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Australia owner field map
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-germany-residents-us-llc,form 5472 Germany resident US LLC,commercial investigation,https://www.form5472prep.com/start,4,4,899,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,German owner field map
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-france-residents-us-llc,form 5472 France resident US LLC,commercial investigation,https://www.form5472prep.com/start,4,4,884,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,France owner field map
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-singapore-residents-us-llc,form 5472 Singapore resident US LLC,commercial investigation,https://www.form5472prep.com/start,4,4,828,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Singapore identifier map
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-netherlands-residents-us-llc,form 5472 Netherlands resident US LLC,commercial investigation,https://www.form5472prep.com/start,4,4,835,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Dutch owner ID map
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/delaware-llc-foreign-owner-tax-filing,Delaware LLC foreign owner tax filing requirements,commercial investigation,https://www.form5472prep.com/start,4,4,866,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Two-calendar compliance map
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/california-llc-foreign-owner-tax-filing,California LLC foreign owner tax filing requirements,commercial investigation,https://www.form5472prep.com/start,3,4,908,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,California federal-state matrix
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/florida-llc-foreign-owner-tax-filing,Florida LLC foreign owner tax filing requirements,commercial investigation,https://www.form5472prep.com/start,4,4,892,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Florida two-agency calendar
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/texas-llc-foreign-owner-tax-filing,Texas LLC foreign owner tax filing requirements 2026,commercial investigation,https://www.form5472prep.com/start,4,5,884,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,2026 state-federal decision matrix
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-reasonable-cause-letter,Form 5472 reasonable cause letter,ready to act,https://www.form5472prep.com/start,4,4,894,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Five-part evidence framework
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/how-to-fax-form-5472-irs,how to fax Form 5472 to IRS,ready to act,https://www.form5472prep.com/start,5,5,805,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Fax preflight and receipt protocol
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/pro-forma-form-1120-foreign-owned-llc,pro forma Form 1120 foreign-owned LLC,commercial investigation,https://www.form5472prep.com/start,4,4,854,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Pro-forma versus full-return table
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-currency-conversion-exchange-rates,Form 5472 exchange rate currency conversion,problem solving,https://www.form5472prep.com/start,4,5,816,BlogPosting+FAQPage,5,yes,2026-08-19,,,,Four-column conversion workpaper
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-foreign-corporate-owner,Form 5472 foreign company owns US LLC,commercial investigation,https://www.form5472prep.com/start,4,5,856,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Three-layer ownership map
2026-08-19,form5472prep.com,https://www.form5472prep.com/blog/form-5472-change-of-ownership,Form 5472 change of ownership LLC,ready to act,https://www.form5472prep.com/start,4,5,928,BlogPosting+FAQPage+HowTo,5,yes,2026-08-19,,,,Before-event-after evidence checklist
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-spain-residents-us-llc,Form 5472 Spain resident US LLC,commercial investigation,https://www.form5472prep.com/start,3,4,1034,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Scan beat broader Spain LLC tax and treaty queries on filing intent; original NIF/DNI/NIE field map"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-italy-residents-us-llc,Form 5472 Italy resident US LLC,commercial investigation,https://www.form5472prep.com/start,3,4,974,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Scan beat generic Italy LLC taxation and cost queries on topical fit; original codice-fiscale field map"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-switzerland-residents-us-llc,Form 5472 Switzerland resident US LLC,commercial investigation,https://www.form5472prep.com/start,4,5,928,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Sparse country-specific results versus broad treaty pages; original AHV-versus-UID owner map"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-japan-residents-us-llc,Form 5472 Japan resident US LLC,commercial investigation,https://www.form5472prep.com/start,4,5,926,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Sparse country-specific results versus general foreign-owner guides; original My Number security and field map"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-new-zealand-residents-us-llc,Form 5472 New Zealand resident US LLC,commercial investigation,https://www.form5472prep.com/start,4,5,991,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Results focused on local LLC classification rather than US information filing; original IRD and dual-classification matrix"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-formation-costs-registered-agent-fees,Form 5472 formation costs registered agent fees,ready to act,https://www.form5472prep.com/start,4,5,981,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Live forum questions exposed payer-versus-payee confusion; original setup-cost classification workpaper"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-customer-payments-foreign-source-income,Form 5472 customer payments foreign source income,problem solving,https://www.form5472prep.com/start,4,5,915,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Current answers blur revenue reporting and income sourcing; original three-ledger and five-point evidence tests"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-no-us-bank-account,Form 5472 no US bank account,commercial investigation,https://www.form5472prep.com/start,5,5,963,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Recent forum demand and weak dedicated coverage; original six-zero transaction test"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-lines-1f-1g-1h-total-value,Form 5472 lines 1f 1g 1h,ready to act,https://www.form5472prep.com/start,5,5,866,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Official instructions rank but no practical reconciliation guide; original two-party worked calculation and control equation"
2026-08-25,form5472prep.com,https://www.form5472prep.com/blog/form-5472-business-address-owner-address,Form 5472 business address vs owner address,ready to act,https://www.form5472prep.com/start,4,5,1053,BlogPosting+FAQPage+HowTo,5,yes,2026-08-25,,,,"Live search showed conflicting registered-agent advice; original four-role address matrix grounded in Form 1120 instructions"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/form-5472-vs-1040-nr,Form 5472 vs 1040-NR,commercial investigation,https://www.form5472prep.com/start,4,,1003,BlogPosting,0,yes,2026-08-28,,,,"Live scan showed entity reporting and owner income tax commonly blurred; original two-axis filing matrix"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/form-5472-vs-1120-f,Form 5472 vs 1120-F,commercial investigation,https://www.form5472prep.com/start,4,,966,BlogPosting,0,yes,2026-08-28,,,,"Live scan favored generic form comparisons over the disregarded-LLC parent scenario; original three-layer taxpayer map"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/form-5472-multiple-llcs-one-owner,Form 5472 multiple LLCs one owner,ready to act,https://www.form5472prep.com/start,4,,898,BlogPosting,0,yes,2026-08-28,,,,"Current results underexplained entity-by-party filing counts; original multi-LLC control matrix"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/form-5472-short-tax-year,Form 5472 short tax year new LLC,problem solving,https://www.form5472prep.com/start,4,,852,BlogPosting,0,yes,2026-08-28,,,,"Search intent centered on formation-year deadlines with limited worked periods; original short-year timeline"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/form-5472-related-party-services-management-fees,Form 5472 management fees related party services,ready to act,https://www.form5472prep.com/start,4,,918,BlogPosting,0,yes,2026-08-28,,,,"Results discussed categories without payer-payee workpapers; original service-classification matrix"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/form-5472-noncash-property-transfers,Form 5472 noncash property transfer,problem solving,https://www.form5472prep.com/start,4,,864,BlogPosting,0,yes,2026-08-28,,,,"Official instructions ranked without practical FMV evidence workflow; original noncash transfer matrix"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/form-5472-royalties-license-fees-intellectual-property,Form 5472 royalties license fees intellectual property,commercial investigation,https://www.form5472prep.com/start,4,,813,BlogPosting,0,yes,2026-08-28,,,,"Search coverage often mixed disclosure with withholding conclusions; original dual-axis IP matrix"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/form-5472-reasonable-estimates-small-amounts,Form 5472 reasonable estimate 50000,problem solving,https://www.form5472prep.com/start,4,,767,BlogPosting,0,yes,2026-08-28,,,,"Results repeated thresholds without separating estimate relief from filing triggers; original three-concept workpaper"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/washington-llc-foreign-owner-tax-filing,Washington LLC foreign owner tax filing requirements,commercial investigation,https://www.form5472prep.com/start,4,,852,BlogPosting,0,yes,2026-08-28,,,,"Current results blurred annual report B&O and federal information filing; original Washington federal-state matrix"
2026-08-28,form5472prep.com,https://www.form5472prep.com/blog/oregon-llc-foreign-owner-tax-filing,Oregon LLC foreign owner tax filing requirements,commercial investigation,https://www.form5472prep.com/start,4,,918,BlogPosting,0,yes,2026-08-28,,,,"Current results overemphasized no sales tax and underexplained CAT plus federal duties; original Oregon federal-state matrix"
