post,claim,source,publisher,source_date,access_date,scope,evidence_type,confidence,refresh_trigger
form-5472-vs-1040-nr,"A foreign-owned US disregarded entity files Form 5472 with a pro forma Form 1120 when it has a reportable transaction",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-vs-1040-nr,"Form 1040-NR addresses a nonresident individual's US income-tax filing rather than replacing entity information reporting",https://www.irs.gov/individuals/international-taxpayers/taxation-of-nonresident-aliens,IRS,current,2026-08-28,federal,primary,high,IRS page or Form 1040-NR revision
form-5472-vs-1040-nr,"Failure to timely file a substantially complete Form 5472 can trigger a $25,000 penalty",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,statutory or form revision
form-5472-vs-1120-f,"Form 5472 reports specified related-party transactions and the pro forma Form 1120 is a filing wrapper for a foreign-owned disregarded entity",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-vs-1120-f,"A foreign corporation uses Form 1120-F to report US-source or effectively connected income and related tax positions when required",https://www.irs.gov/businesses/international-businesses/foreign-corporation-form-1120-f-filing-responsibilities,IRS,current,2026-08-28,federal,primary,high,IRS page or Form 1120-F revision
form-5472-vs-1120-f,"The foreign parent and its disregarded US LLC can have separate filing analyses",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 or entity-classification guidance
form-5472-multiple-llcs-one-owner,"Each reporting corporation has its own Form 5472 filing analysis",https://www.law.cornell.edu/cfr/text/26/1.6038A-2,Cornell LII/e-CFR,current,2026-08-28,federal,primary,high,regulation amendment
form-5472-multiple-llcs-one-owner,"A separate Form 5472 is required for each related party with reportable transactions",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-multiple-llcs-one-owner,"A foreign-owned disregarded entity attaches Form 5472 to its own pro forma Form 1120",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-short-tax-year,"A foreign-owned disregarded entity uses the same tax year as its owner when the owner has a US return filing obligation and otherwise uses the calendar year",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-short-tax-year,"A short first reporting period can end at the entity's applicable year end rather than its formation anniversary",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-short-tax-year,"Form 7004 can extend the associated Form 1120 filing deadline",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 or Form 7004 revision
form-5472-related-party-services-management-fees,"Technical managerial engineering construction scientific and other service consideration can be a reportable monetary category",https://www.law.cornell.edu/cfr/text/26/1.6038A-2,Cornell LII/e-CFR,current,2026-08-28,federal,primary,high,regulation amendment
form-5472-related-party-services-management-fees,"Form 5472 distinguishes consideration paid from consideration received",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-related-party-services-management-fees,"Nonmonetary or less-than-full-consideration services require Part VI review",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-noncash-property-transfers,"Reportable nonmonetary transactions can include property rights obligations and services",https://www.law.cornell.edu/cfr/text/26/1.6038A-2,Cornell LII/e-CFR,current,2026-08-28,federal,primary,high,regulation amendment
form-5472-noncash-property-transfers,"Part VI requires a description for nonmonetary or less-than-full-consideration transactions and a reasonable value estimate when possible",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-noncash-property-transfers,"Contributions and distributions involving a foreign-owned disregarded entity are reportable transaction categories",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-royalties-license-fees-intellectual-property,"Consideration paid or received for the sale lease or license of intangible property is a Form 5472 monetary category",https://www.law.cornell.edu/cfr/text/26/1.6038A-2,Cornell LII/e-CFR,current,2026-08-28,federal,primary,high,regulation amendment
form-5472-royalties-license-fees-intellectual-property,"Patent and copyright royalties are generally sourced where the property is used",https://www.irs.gov/individuals/international-taxpayers/nonresident-aliens-sourcing-of-income,IRS,current,2026-08-28,federal,primary,high,IRS sourcing guidance change
form-5472-royalties-license-fees-intellectual-property,"US-source FDAP paid to a foreign person is generally subject to 30% withholding unless a treaty or other rule changes the result",https://www.irs.gov/individuals/international-taxpayers/nra-withholding,IRS,current,2026-08-28,federal,primary,high,withholding or treaty guidance change
form-5472-royalties-license-fees-intellectual-property,"Noncash or below-market IP transfers require separate Part VI consideration",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-reasonable-estimates-small-amounts,"A reasonable estimate is permitted when an actual reportable amount cannot be determined",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-reasonable-estimates-small-amounts,"The estimate generally must be at least 75% and no more than 125% of the actual amount",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
form-5472-reasonable-estimates-small-amounts,"A transaction or series of transactions at $50,000 or less may use the stated reporting convention but the convention is not a general filing exemption",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
washington-llc-foreign-owner-tax-filing,"A Washington profit LLC annual report currently costs $70 and is due by the last day of the formation or registration month",https://www.sos.wa.gov/vi/node/30116,Washington Secretary of State,current,2026-08-28,Washington,primary,high,annual fee or deadline update
washington-llc-foreign-owner-tax-filing,"Washington B&O tax is a gross-receipts tax and generally does not allow deductions for ordinary business costs",https://dor.wa.gov/taxes-rates/business-occupation-tax,Washington Department of Revenue,current,2026-08-28,Washington,primary,high,rate or classification update
washington-llc-foreign-owner-tax-filing,"Remote businesses exceeding $100,000 of combined Washington gross receipts in the current or prior year generally must register and report",https://dor.wa.gov/taxes-rates/retail-sales-tax/marketplace-fairness-leveling-playing-field/remote-sellers,Washington Department of Revenue,current,2026-08-28,Washington,primary,high,economic-nexus threshold change
washington-llc-foreign-owner-tax-filing,"Washington state compliance does not replace the federal Form 5472 filing for a qualifying foreign-owned disregarded entity",https://www.irs.gov/instructions/i5472,IRS,2024-12,2026-08-28,federal,primary,high,new Form 5472 revision
oregon-llc-foreign-owner-tax-filing,"An Oregon corporation or LLC annual report currently has a $100 fee",https://sos.oregon.gov/business/pages/dont-be-misled.aspx,Oregon Secretary of State,current,2026-08-28,Oregon,primary,high,annual fee update
