Action,Type,Campaign,Campaign Status,Campaign Type,Campaign Subtype,Budget,Budget Type,Bid Strategy Type,Target CPA,Percent CPC Enhancement,Max CPC,Network (Google Search),Network (Search Partners),Network (Display Network),Ad Rotation,Language,EU political ads,Ad Group,Ad Group Status,Ad Group Default Max CPC,Final URL,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Keyword,Match Type,Label,Comment
Add,Campaign,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,Enabled,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG2 - Foreign-Owned LLC,Enabled,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG3 - CPA Help,Enabled,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Ad Group,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG4 - Late Filing & Penalty,Enabled,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,form 5472 filing service,Exact match,AG1 High Priority,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,form 5472 filing service,Phrase match,AG1 High Priority,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file form 5472,Exact match,AG1 High Priority,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file form 5472,Phrase match,AG1,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,form 5472 preparation service,Exact match,AG1,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,form 5472 preparation service,Phrase match,AG1,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,form 5472 preparation,Exact match,AG1,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5472 filing service,Phrase match,AG1,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG1 - Filing Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,form 5472 filing help,Phrase match,AG1,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG2 - Foreign-Owned LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foreign owned llc form 5472,Exact match,AG2 High Priority,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG2 - Foreign-Owned LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foreign owned llc form 5472,Phrase match,AG2 High Priority,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG2 - Foreign-Owned LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,form 5472 single member llc,Phrase match,AG2,
Add,Keyword,Form5472 Filing Service,Paused,Search,,50,Daily,Manual CPC,,,,TRUE,FALSE,FALSE,Optimize,,No,AG2 - Foreign-Owned LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,form 5472 foreign owned llc filing,Phrase match,AG2,
