post,claim,source,publisher,source_date,access_date,scope,evidence_type,confidence,refresh_trigger
itin-application-checklist-nonresidents,"An ITIN is available only when an individual has a federal tax purpose and is not eligible for an SSN",https://www.irs.gov/tin/itin/individual-taxpayer-identification-number-itin,IRS,current,2026-09-03,U.S. federal tax identification,primary authority,high,IRS eligibility guidance changes
itin-application-checklist-nonresidents,"A new Form W-7 application generally includes a federal income tax return unless an exception applies",https://www.irs.gov/instructions/iw7,IRS,2024-12,2026-09-03,U.S. Form W-7 applications,primary authority,high,new Form W-7 revision
itin-application-checklist-nonresidents,"A passport can establish identity and foreign status as a stand-alone document for most applicants; special dependent rules can require more evidence",https://www.irs.gov/instructions/iw7,IRS,2024-12,2026-09-03,U.S. Form W-7 supporting documents,primary authority,high,new Form W-7 revision
itin-application-checklist-nonresidents,"Form5472 Prep charges $349 for Form W-7 preparation and CAA certification without mailing the original passport",https://www.form5472prep.com/itin,Form5472 Prep,current,2026-09-03,Form5472 Prep ITIN service,first-party product page,high,price or service-scope change
itin-cost-irs-fee-caa-service,"The IRS does not charge a fee to issue an ITIN; professional or agent assistance can be fee-based",https://www.irs.gov/tin/itin/how-to-apply-for-an-itin,IRS,current,2026-09-03,U.S. ITIN application routes,primary authority,high,IRS application-route change
itin-cost-irs-fee-caa-service,"IRS TAC and participating VITA options are free while a CAA is fee-based",https://www.irs.gov/tin/itin/how-to-apply-for-an-itin,IRS,current,2026-09-03,U.S. ITIN application assistance,primary authority,high,IRS application-route change
itin-cost-irs-fee-caa-service,"The $349 Form5472 Prep service includes CAA certification and Form W-7 preparation",https://www.form5472prep.com/itin,Form5472 Prep,current,2026-09-03,Form5472 Prep ITIN service,first-party product page,high,price or service-scope change
itin-processing-time-status-delays,"The IRS advises allowing 7 weeks for an ITIN status notice and 9 to 11 weeks during tax season or for overseas applications",https://www.irs.gov/tin/itin/individual-taxpayer-identification-number-itin,IRS,current,2026-09-03,U.S. ITIN processing,primary authority,high,IRS processing guidance changes
itin-processing-time-status-delays,"On 2026-09-03 the IRS processing-status page reported processing Form W-7 applications received in July 2026",https://www.irs.gov/help/processing-status-for-tax-forms,IRS,current,2026-09-03,U.S. IRS operations dated snapshot,primary authority,high,refresh before publication and monthly thereafter
itin-processing-time-status-delays,"Applicants should contact the IRS after the stated window rather than send a duplicate application",https://www.irs.gov/tin/itin/individual-taxpayer-identification-number-itin,IRS,current,2026-09-03,U.S. ITIN application follow-up,primary authority,high,IRS contact guidance changes
itin-caa-vs-mail-vs-tac,"Applicants may apply by mail or in person through an ITIN-service TAC VITA site CAA or Acceptance Agent",https://www.irs.gov/tin/itin/how-to-apply-for-an-itin,IRS,current,2026-09-03,U.S. ITIN application routes,primary authority,high,IRS application-route change
itin-caa-vs-mail-vs-tac,"A CAA can authenticate most supporting documents and return them immediately while an Acceptance Agent mails supporting documents",https://www.irs.gov/tin/itin/itin-acceptance-agents,IRS,current,2026-09-03,U.S. ITIN Acceptance Agent program,primary authority,high,Acceptance Agent program change
itin-caa-vs-mail-vs-tac,"Form5472 Prep's $349 service uses CAA certification so the applicant does not mail the original passport",https://www.form5472prep.com/itin,Form5472 Prep,current,2026-09-03,Form5472 Prep ITIN service,first-party product page,high,price or service-scope change
itin-nonresident-rental-property,"A nonresident alien can elect under IRC 871(d) to treat U.S. real-property income as effectively connected income and claim attributable deductions",https://www.irs.gov/individuals/international-taxpayers/nonresident-aliens-real-property-located-in-the-us,IRS,current,2026-09-03,U.S. federal taxation of nonresident real-property income,primary authority,high,law or IRS guidance change
itin-nonresident-rental-property,"A nonresident alien making the section 871(d) election files Form 1040-NR for the election year and subsequent years until revocation",https://www.irs.gov/individuals/international-taxpayers/nonresident-aliens-real-property-located-in-the-us,IRS,current,2026-09-03,U.S. federal taxation of nonresident real-property income,primary authority,high,law or IRS guidance change
itin-nonresident-rental-property,"Form W-7 Exception 1 can apply to qualifying passive income subject to withholding or treaty benefits but not when a federal return is required",https://www.irs.gov/instructions/iw7,IRS,2024-12,2026-09-03,U.S. Form W-7 exceptions,primary authority,high,new Form W-7 revision
ein-application-checklist-foreign-owned-llc,"A legal entity should be formed with its state before applying for an EIN",https://www.irs.gov/businesses/employer-identification-number,IRS,current,2026-09-03,U.S. EIN applications,primary authority,high,IRS EIN guidance changes
ein-application-checklist-foreign-owned-llc,"International applicants may apply by phone fax or mail when their principal place of business is outside the United States",https://www.irs.gov/businesses/employer-identification-number,IRS,current,2026-09-03,international EIN applicants,primary authority,high,IRS application-route change
ein-application-checklist-foreign-owned-llc,"A responsible party without and ineligible for an SSN or ITIN enters foreign or N/A on Form SS-4 line 7b",https://www.irs.gov/instructions/iss4,IRS,2025-12,2026-09-03,U.S. Form SS-4 applications,primary authority,high,new Form SS-4 revision
ein-application-checklist-foreign-owned-llc,"Form5472 Prep charges $149 to prepare Form SS-4 and handle the IRS application for a foreign-owned U.S. LLC",https://www.form5472prep.com/ein,Form5472 Prep,current,2026-09-03,Form5472 Prep EIN service,first-party product page,high,price or service-scope change
ein-cost-irs-free-vs-service,"The IRS does not charge to issue an EIN and eligible applicants may use the online tool for free",https://www.irs.gov/businesses/get-an-employer-identification-number,IRS,current,2026-09-03,U.S. EIN application cost,primary authority,high,IRS EIN guidance changes
ein-cost-irs-free-vs-service,"The IRS online EIN tool requires a U.S. principal place of business and a responsible party SSN or ITIN; otherwise phone fax or mail is used",https://www.irs.gov/businesses/get-an-employer-identification-number,IRS,current,2026-09-03,U.S. online EIN eligibility,primary authority,high,online tool eligibility changes
ein-cost-irs-free-vs-service,"The $149 Form5472 Prep fee pays for preparation and application handling rather than an IRS issuance fee",https://www.form5472prep.com/ein,Form5472 Prep,current,2026-09-03,Form5472 Prep EIN service,first-party product page,high,price or service-scope change
ein-processing-time-international-applicants,"The Form SS-4 instructions say fax applications generally receive an EIN within 4 business days and mail applications in approximately 4 weeks",https://www.irs.gov/instructions/iss4,IRS,2025-12,2026-09-03,U.S. EIN processing guidance,primary authority,high,new Form SS-4 revision
ein-processing-time-international-applicants,"On 2026-09-03 the IRS operations page reported faxed SS-4 forms processed 9 business days after receipt and paper forms within 30 days",https://www.irs.gov/help/processing-status-for-tax-forms,IRS,current,2026-09-03,U.S. IRS operations dated snapshot,primary authority,high,refresh before publication and monthly thereafter
ein-processing-time-international-applicants,"International applicants can call 267-941-1099 on weekdays from 6 a.m. to 11 p.m. Eastern time",https://www.irs.gov/instructions/iss4,IRS,2025-12,2026-09-03,international EIN applicants,primary authority,high,new Form SS-4 revision
ein-processing-time-international-applicants,"Form5472 Prep advertises EIN delivery in 1 to 5 business days but IRS processing remains outside the service's control",https://www.form5472prep.com/ein,Form5472 Prep,current,2026-09-03,Form5472 Prep EIN service,first-party product page,medium,service-level or IRS workload change
ein-responsible-party-foreign-owned-llc,"The EIN responsible party is the individual who ultimately owns controls or exercises effective control over the entity and its assets",https://www.irs.gov/businesses/responsible-parties-and-nominees,IRS,current,2026-09-03,U.S. EIN applications,primary authority,high,IRS responsible-party guidance changes
ein-responsible-party-foreign-owned-llc,"A nominee such as a formation agent with limited authority cannot be the responsible party",https://www.irs.gov/businesses/responsible-parties-and-nominees,IRS,current,2026-09-03,U.S. EIN applications,primary authority,high,IRS responsible-party guidance changes
ein-responsible-party-foreign-owned-llc,"A responsible-party change is reported on Form 8822-B within 60 days",https://www.irs.gov/businesses/responsible-parties-and-nominees,IRS,current,2026-09-03,U.S. EIN account maintenance,primary authority,high,IRS reporting rule changes
new-ein-llc-ownership-structure-change,"A new EIN is generally associated with an ownership or entity-structure change rather than only a name or address change",https://www.irs.gov/businesses/when-to-get-a-new-ein,IRS,current,2026-09-03,U.S. EIN account rules,primary authority,high,IRS new-EIN guidance changes
new-ein-llc-ownership-structure-change,"An LLC does not need a new EIN merely for a name or location change or solely for a corporate or S corporation tax election",https://www.irs.gov/businesses/when-to-get-a-new-ein,IRS,current,2026-09-03,U.S. LLC EIN rules,primary authority,high,IRS new-EIN guidance changes
new-ein-llc-ownership-structure-change,"An LLC can need a new EIN when the existing LLC terminates and a new corporation or partnership is formed",https://www.irs.gov/businesses/when-to-get-a-new-ein,IRS,current,2026-09-03,U.S. LLC EIN rules,primary authority,high,IRS new-EIN guidance changes
