claim_id,claim,section,source_url_or_location,publisher_or_owner,source_date,accessed_at,scope,source_locator,evidence_type,direct_or_derived,method_and_inputs,verification_status,confidence,confidence_reason,resolution,refresh_trigger,reviewer,notes
"US1","Foreign-owned disregarded LLC with reportable related-party transactions generally files 5472 plus pro forma 1120","All ten: federal scope","https://www.irs.gov/instructions/i5472","IRS","2024-12","2026-09-22","Educational framework only","Who Must File; Foreign-owned U.S. DEs","primary authority","direct","Conditions explicit; no no-tax-equals-no-filing inference","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"US2","Contributions and distributions are included in foreign-owned DE transaction review","Bangkok; Chiang Mai; Buenos Aires; Dubai; hub","https://www.irs.gov/instructions/i5472","IRS","2024-12","2026-09-22","Educational framework only","Part V; Record Maintenance Requirements","primary authority","direct","Do not count same-owner personal transfer as second LLC distribution; actual-account assumptions explicit","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"US3","Foreign person status is not established by absence of foreign tax residence","All scopes; hub corrections","https://www.irs.gov/instructions/i5472","IRS","2024-12","2026-09-22","Educational framework only","Definitions: Foreign person; DE","primary authority","direct","U.S. citizen abroad excluded; no foreign residency determination","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"US4","Personal-service income sourcing generally follows physical performance; allocation may be needed","Mexico City","https://www.irs.gov/individuals/international-taxpayers/source-of-income-personal-service-income","IRS","not stated","2026-09-22","Educational framework only","Opening paragraph; Allocation of personal service income","primary authority","direct","Not extended to royalties inventory or all digital income; no tax-liability determination","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"US5","Currency treatment depends on functional currency and appropriate exchange rate","Chiang Mai; Buenos Aires","https://www.irs.gov/individuals/international-taxpayers/foreign-currency-and-currency-exchange-rates","IRS","not stated","2026-09-22","Educational framework only","Functional currency; exchange rates","primary authority","direct","No invented ARS or THB rate; no universal annual-average instruction","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"PT1","Portuguese residency framework includes relevant 12-month day count and habitual home","Lisbon","https://info.portaldasfinancas.gov.pt/en/tax-information/getting-started-in-portugal/tax-residency/tax-residency-rules/Pages/default.aspx","Portuguese Tax and Customs Authority","not stated","2026-09-22","Educational framework only","Tax residency rules; more than 183 days; habitual residence","primary authority","direct","No actual residency-start date or local LLC classification determined","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"TH1","Thai foreign-income guidance distinguishes year income arose and year remitted","Bangkok","https://www.rd.go.th/fileadmin/download/news/question_p161_162.pdf","Thai Revenue Department","not stated","2026-09-22","Educational framework only","Page 1/7 principles and examples; 2024 onward","primary authority","direct","Thai text read; no categorical local income-source ruling; omitted disputed English residency threshold","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"MX1","Mexican residence guidance discusses home and centre of professional activities","Mexico City","https://wwwmat.sat.gob.mx/consulta/06710/que-se-entiende-por-residente-en-el-extranjero","SAT","not stated","2026-09-22","Educational framework only","Personas; casa habitacion; centro principal de actividades profesionales","primary authority","direct","Not a universal 183-day exemption; no personalized residency advice","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"GE1","Small-business status is for qualifying entrepreneur natural person and has activity/income rules","Tbilisi","https://new.matsne.gov.ge/en/document/view/1043717","Matsne official legislative publisher","consolidated text accessed","2026-09-22","Educational framework only","Articles 88-91","primary authority","direct","No promised 1% rate; no endorsement of self-invoicing structure","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"AE1","Natural-person UAE business turnover test exceeds AED 1 million in calendar year","Dubai","https://tax.gov.ae/en/taxes/corporate.tax/corporate.tax.topics/basis.of.taxation.natural.person.aspx","UAE Federal Tax Authority","2024-05-06","2026-09-22","Educational framework only","Basis of Taxation - Natural Person","primary authority","direct","Natural-person scope only; not profit or withdrawals; entity classification unresolved","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"MY1","Malaysia section 7 includes 182-day and linked-period residence tests","Kuala Lumpur","https://www.hasil.gov.my/individu/taraf-mastautin/","HASiL","2026-08-10","2026-09-22","Educational framework only","Section 7(1)(a)-(d)","primary authority","direct","Malaysian text read; temporary absence conditions not treated as automatic","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"CO1","Colombia presence test uses more than 183 days in any 365 consecutive days","Medellin","https://micrositios.dian.gov.co/renta-personas-naturales-ag-2025/preparese-para-la-declaracion/","DIAN","2025 tax-year guidance accessed 2026","2026-09-22","Educational framework only","Residencia para efectos fiscales","primary authority","direct","Other Article 10 tests retained","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"CO2","Entry exit days counted; relevant cross-year stay can imply second tax year residence","Medellin","https://www.dian.gov.co/impuestos/personas/Renta-Personas-Naturales-AG-2020/Paginas/Eres-residente-en-Colombia-para-efectos-tributarios.aspx","DIAN","2020 tax-year resource","2026-09-22","Educational framework only","Article 10 point 1","primary authority","direct","Older official detailed statement paired with current DIAN summary","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"ES1","Remote-employment and entrepreneurial/professional special-regime routes have different conditions","Barcelona","https://sede.agenciatributaria.gob.es/Sede/en_gb/ayuda/manuales-videos-folletos/manuales-practicos/irpf-2024/c02-irpf-cuestiones-generales/sujecion-irpf-aspectos-personales/regimen-fiscal-especial-aplicable-trabajadores-desplazados/regimen-aplicable-trabajadores-desplazados/ambito-aplicacion.html","AEAT","2024 practical manual","2026-09-22","Educational framework only","Scope: employed teleworkers; entrepreneurial/professional activities","primary authority","direct","No personal eligibility judgment or quoted tax rate","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"ES2","Form 149 has separate election communication and supporting-document procedure","Barcelona","https://sede.agenciatributaria.gob.es/Sede/procedimientoini/G606.shtml","AEAT","not stated","2026-09-22","Educational framework only","Gestiones; supporting documentation before election communication","primary authority","direct","No assumed filing deadline; adviser must confirm actual trigger","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"CALC1","Hypothetical receipt 2000 less fee 60 nets 1940; less owner transfer 1000 leaves 940","Buenos Aires","content/blog/buenos-aires-digital-nomad-llc-usd-ars-reconciliation.md","Form5472 Prep editorial example","2026-09-22","2026-09-22","Educational framework only","Worked example table","original calculation","derived","Zero opening balance and no other entries; USD; no FX assumption","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
"CALC2","Inclusive Nov 1-Dec 31 2025 is 61; Jan 1-Jul 1 2026 is 182; total 243","Kuala Lumpur","content/blog/kuala-lumpur-digital-nomad-cross-year-tax-records.md","Form5472 Prep editorial example","2026-09-22","2026-09-22","Educational framework only","Cross-year example","original calculation","derived","Uninterrupted hypothetical presence; counts are not a residency determination","verified as scoped","high for narrow claim","Primary source inspected or arithmetic reproducible","Publish narrow claim; retain limits","Source or law change; next filing-season refresh","Codex editorial source check; not licensed review",""
